Company,Domain,Name,Job Title,LinkedIn Profile,AI Confidence,AI Reasoning
Software Development Company,N/A,Tanu Pahuja,HR Manager,https://in.linkedin.com/in/tanu-pahuja-7a834738,High,"Tanu Pahuja is explicitly listed as the HR Manager at 'Software Development Company' in the search results, making her the most likely candidate holding a senior HR role at the specified company."
Software Group,N/A,Danny Smith,Chief Talent officer,https://www.linkedin.com/in/danny-smith-4b1915217,High,"Danny Smith is listed as the Chief Talent Officer at Software Group Inc, which matches the company name 'Software Group'. His title indicates a senior HR role, aligning with the search criteria."
"Software Guidance & Assistance, Inc.",N/A,Elizabeth Kurian,"Software Guidance & Assistance, Inc.",https://www.linkedin.com/in/elizabeth-kurian-0854117,Medium,"Elizabeth Kurian is directly associated with Software Guidance & Assistance, Inc. as indicated in the search result. However, the specific HR title is not mentioned, which lowers the confidence level. No other candidate explicitly mentions a senior HR role at the company."
Software Incubator Pvt Ltd,N/A,SI (HR),HR,https://in.linkedin.com/in/si-hr-221bb7106,Medium,"The title 'SI (HR)' suggests a senior HR role, potentially at the parent company 'Software Incubator Inc.', which could be related to 'Software Incubator Pvt Ltd'. The snippet indicates a trusted partnership, which may imply a significant HR position. However, the lack of specific job title details reduces confidence."
Software Courses And Placements,N/A,No Results,-,-,Low,No Google Results
Infiniti Software Solutions Pvt. Ltd.,N/A,Priyadharshini M,Infiniti Software Solutions Pvt. Ltd,https://in.linkedin.com/in/priyadharshini4u,Medium,"Priyadharshini M is associated with Infiniti Software Solutions Pvt. Ltd. The snippet does not specify her exact role, but given the task's prioritization and her direct association with the company, she is the most likely candidate for a senior HR role among the search results."
Software Technology Globe,N/A,Sadaf Sultana,Not specified,https://in.linkedin.com/in/sadaf-sultana-2bb6a6212,Low,"The search result only provides the name and company association without specifying the job title or role. However, Sadaf Sultana is the only person explicitly linked to 'Software Technology Globe' in the search results, making it a potential lead despite the lack of specific HR-related information."
OptiProERP Software,N/A,Michelle Yingling,OptiProERP Software,https://www.linkedin.com/in/michelleyingling,Medium,"Michelle Yingling is the only person listed with a direct association to OptiProERP Software without a specified role, suggesting a potential senior position. However, the snippet does not explicitly mention an HR-related title, leading to medium confidence."
Indizeal Software Solutions Pvt Ltd,N/A,Divya Reddy,Indizeal Software Solutions Pvt Ltd,https://in.linkedin.com/in/divya-reddy-43490730b,Medium,"Divya Reddy is the only person explicitly associated with Indizeal Software Solutions Pvt Ltd in the search results. However, the title does not specify a senior HR role, so the confidence level is medium."
Axcend Automation and Software Solutions Pvt Ltd,N/A,Nikhila Rajendran,Lead-Talent Acquisition,https://in.linkedin.com/in/nikhila-rajendran-3b689a32,Medium,"Nikhila Rajendran is explicitly mentioned as the Lead-Talent Acquisition at Axcend, which aligns with the search for a senior HR role. Although the title is not the highest in the HR hierarchy, it is the most relevant and specific role mentioned in the search results for Axcend Automation and Software Solutions Pvt Ltd."
Pratham Software,N/A,Sonal Upadhyay,Vice President-HR,https://in.linkedin.com/in/sonal-upadhyay-9037507,High,"Sonal Upadhyay holds the title of Vice President-HR at Pratham Software, which is a senior HR role. This position is higher in the hierarchy compared to other roles listed, such as HR Manager or Talent Acquisition Lead, and directly indicates a leadership position in HR at the company."
Sahaj Software,N/A,Shilpa Manjunath,Talent Acquisition at Sahaj Software,https://in.linkedin.com/in/shilpa-manjunath-38a09a41,Medium,"Shilpa Manjunath is explicitly mentioned as being involved in Talent Acquisition at Sahaj Software, which aligns with the roles being searched for. While the title does not indicate a senior HR role like CHRO or HR Manager, it is the closest match from the available data."
Anju Software,N/A,Joanna Paul,Anju Software,https://in.linkedin.com/in/joanna-paul-a66692114,Medium,"Joanna Paul is listed with Anju Software, and while her specific role is not mentioned, she is the most likely candidate for a senior HR position based on the available information. The other entries do not specify HR roles or are not associated with Anju Software."
NAVA Software Solutions,N/A,Sai Kiran Reddy,Global Talent Acquisition Manager,https://in.linkedin.com/in/sai-kiran-reddy-navasoft?trk=public_profile_browsemap,High,"Sai Kiran Reddy is explicitly mentioned as the 'Global Talent Acquisition Manager' at NAVA Software Solutions, which aligns with the search for a senior HR role. The title suggests a senior position within the HR department, and the snippet confirms employment at the company."
DataCore Software,N/A,Soumya Leelaram,Sr. Manager - HR & Operations,https://in.linkedin.com/in/soumya-leelaram,Medium,"Soumya Leelaram is identified as a Sr. Manager in HR & Operations at DataCore Software, which suggests a senior HR role. While not explicitly titled as CHRO or VP, the role indicates significant responsibility in HR, making her the most likely candidate from the provided list."
NetWeb Software,N/A,Sheetal Deshpande,HR at NetWeb Software Pvt. Ltd.,https://in.linkedin.com/in/sheetal-deshpande-88813622,Medium,"Sheetal Deshpande is explicitly mentioned as holding an HR position at NetWeb Software Pvt. Ltd. in the search results. Although the exact seniority level is not specified, she is the only person directly associated with an HR role at the company in the provided data."
BeeHyv Software,N/A,Shankari Sathya,HR Manager | Talent Acquisition,https://in.linkedin.com/in/shankari-sathya-807b5718,High,"Shankari Sathya is listed as an HR Manager with a focus on Talent Acquisition, which is a senior HR role. The title suggests a managerial position, and the snippet indicates a direct association with HR functions. No other candidate in the search results has a higher HR title or a clear connection to BeeHyv Software in a senior HR capacity."
Nurture Software Solutions (P) Limited,N/A,Chandini A.R,Human Resources Specialist,https://in.linkedin.com/in/chandini-a-r-4b68aa180,Medium,"Chandini A.R is identified as a Human Resources Specialist at Nurture Software Solutions (P) Limited. While the title does not explicitly indicate a senior HR role such as CHRO or HR Manager, she is the only person listed with a clear HR-related title at the company. No other search results provide a more senior HR title at Nurture Software Solutions."
RWaltz Software,N/A,Sangeeta P,Talent Acquisition Specialist,https://www.linkedin.com/in/sangeeta-p-70591217b,Medium,"Sangeeta P is identified as a Talent Acquisition Specialist at RWaltz Software, which is the closest match to a senior HR role among the search results. Although not a CHRO or HR Manager, her role in talent acquisition suggests a significant HR function within the company."
Ruri Software Technologies,N/A,No Results,-,-,Low,No Google Results
Lepton Software,Error,Error,-,-,Low,
Sapphire Software Solutions,N/A,Paresha Patel,HR Manager at Sapphire Software Solutions,https://in.linkedin.com/in/paresha-patel-6b525a208,High,"Paresha Patel is explicitly listed as the HR Manager at Sapphire Software Solutions, which is the most senior HR role identified in the search results. No other titles such as CHRO or Director HR are mentioned, making her the most likely candidate for a senior HR role at the company."
Excellon Software,N/A,Madhura Padhye,Deputy Centre Head – HR & Operations,https://in.linkedin.com/in/madhura-padhye-ba411918,Medium,"Madhura Padhye is the only person listed with a specific HR-related title at Excellon Software. Although the title 'Deputy Centre Head – HR & Operations' suggests a senior role, it is not explicitly a CHRO or HR Manager title. However, it indicates significant responsibility in HR and operations, making her the most likely candidate for a senior HR role at Excellon Software among the search results."
Crestech Software,N/A,Sakshi Bahuguna,Talent Acquisition | Leadership Hiring,https://in.linkedin.com/in/sakshi-bahuguna-0948a358,Medium,"Sakshi Bahuguna's title includes 'Talent Acquisition' and 'Leadership Hiring', indicating a senior HR role. Although the exact company is not specified in the snippet, the focus on leadership hiring suggests a significant HR position, potentially aligning with the roles sought. No other candidates explicitly mention a senior HR role at Crestech Software."
PSI Software – Process Industries & Metals,N/A,Not Found,-,-,Low,AI Mismatch
Winman Software India LLP,N/A,Lokesh Kalavar,HR Head,https://in.linkedin.com/in/lokesh-kalavar-b1ab8487,High,"Lokesh Kalavar is explicitly mentioned as the 'HR Head at Winman Software India LLP' in the search results, which indicates a senior HR role at the company. This aligns with the priority list provided, making him the most likely candidate for a senior HR position at the company."
Qualitia Software,N/A,Susan Kutar-Tamang,Talent Acquisition & HR Leader,https://in.linkedin.com/in/susankutar,Medium,"Susan Kutar-Tamang is identified as a Talent Acquisition & HR Leader, which suggests a senior HR role. However, the snippet does not explicitly confirm her current employment at Qualitia Software, leading to a medium confidence level."
